,company,bus_stop,hotel,landmark
"POLYGON ((86.085229 55.389467, 86.093117 55.391685, 86.09352 55.396745, 86.086031 55.399586, 86.078141 55.397368, 86.077741 55.392308, 86.085229 55.389467))",1.0,0.0,0.0,0.0
"POLYGON ((86.130132 55.372411, 86.138018 55.374626, 86.138426 55.379686, 86.130944 55.38253, 86.123056 55.380314, 86.122651 55.375255, 86.130132 55.372411))",0.0,2.0,0.0,0.0
"POLYGON ((85.969414 55.287471, 85.969027 55.282407, 85.976506 55.279571, 85.984373 55.2818, 85.984762 55.286863, 85.977282 55.289699, 85.969414 55.287471))",0.0,4.0,0.0,0.0
"POLYGON ((86.159634 55.355972, 86.159225 55.350912, 86.166698 55.348066, 86.174582 55.35028, 86.174993 55.35534, 86.167519 55.358186, 86.159634 55.355972))",0.0,11.0,1.0,0.0
"POLYGON ((85.948122 55.311165, 85.955994 55.313394, 85.95638 55.318458, 85.948892 55.321292, 85.941019 55.319062, 85.940635 55.313999, 85.948122 55.311165))",0.0,5.0,0.0,0.0
"POLYGON ((86.042622 55.337879, 86.050501 55.340101, 86.050897 55.345163, 86.043414 55.348002, 86.035534 55.345779, 86.035139 55.340718, 86.042622 55.337879))",0.0,2.0,0.0,0.0
"POLYGON ((86.127696 55.34205, 86.12729 55.33699, 86.134764 55.334146, 86.142644 55.336362, 86.143052 55.341422, 86.135577 55.344267, 86.127696 55.34205))",0.0,5.0,1.0,0.0
"POLYGON ((86.194452 55.499161, 86.202363 55.501369, 86.202779 55.506424, 86.195282 55.509272, 86.18737 55.507064, 86.186956 55.502008, 86.194452 55.499161))",0.0,1.0,0.0,0.0
"POLYGON ((86.04381 55.353063, 86.043414 55.348002, 86.050897 55.345163, 86.058778 55.347384, 86.059176 55.352445, 86.051692 55.355285, 86.04381 55.353063))",0.0,2.0,0.0,0.0
"POLYGON ((86.124049 55.2965, 86.123644 55.291438, 86.131111 55.288594, 86.138982 55.290812, 86.139389 55.295873, 86.131922 55.298718, 86.124049 55.2965))",0.0,2.0,0.0,0.0
"POLYGON ((86.083624 55.369227, 86.075739 55.367008, 86.075339 55.361947, 86.082822 55.359106, 86.090706 55.361325, 86.091108 55.366385, 86.083624 55.369227))",0.0,0.0,0.0,3.0
"POLYGON ((85.946793 55.394998, 85.95468 55.397225, 85.955067 55.402286, 85.947565 55.40512, 85.939677 55.402892, 85.939292 55.397831, 85.946793 55.394998))",0.0,2.0,0.0,0.0
"POLYGON ((86.102444 55.315153, 86.102847 55.320214, 86.095372 55.323056, 86.087496 55.320837, 86.087095 55.315775, 86.094569 55.312933, 86.102444 55.315153))",0.0,6.0,0.0,0.0
"POLYGON ((86.04738 55.398609, 86.05527 55.400829, 86.055668 55.405889, 86.048174 55.408729, 86.040284 55.406508, 86.039887 55.401448, 86.04738 55.398609))",0.0,9.0,0.0,0.0
"POLYGON ((86.014254 55.369478, 86.013861 55.364416, 86.02135 55.361579, 86.029233 55.363802, 86.029627 55.368863, 86.022138 55.371701, 86.014254 55.369478))",0.0,1.0,0.0,0.0
"POLYGON ((86.063559 55.408109, 86.063958 55.413168, 86.056464 55.416008, 86.048572 55.413788, 86.048174 55.408729, 86.055668 55.405889, 86.063559 55.408109))",0.0,4.0,0.0,0.0
"POLYGON ((86.03198 55.30022, 86.024503 55.303058, 86.016631 55.300833, 86.016239 55.29577, 86.023716 55.292932, 86.031586 55.295157, 86.03198 55.30022))",0.0,3.0,0.0,0.0
"POLYGON ((85.961933 55.290305, 85.954065 55.288076, 85.95368 55.283012, 85.96116 55.280177, 85.969027 55.282407, 85.969414 55.287471, 85.961933 55.290305))",0.0,1.0,0.0,0.0
"POLYGON ((86.01072 55.323921, 86.018596 55.326146, 86.018989 55.331208, 86.011505 55.334046, 86.003628 55.331821, 86.003237 55.326758, 86.01072 55.323921))",0.0,1.0,0.0,0.0
"POLYGON ((86.068254 55.369848, 86.06037 55.367628, 86.059972 55.362567, 86.067456 55.359727, 86.075339 55.361947, 86.075739 55.367008, 86.068254 55.369848))",2.0,2.0,1.0,0.0
"POLYGON ((86.102847 55.320214, 86.102444 55.315153, 86.109917 55.31231, 86.117793 55.314528, 86.118197 55.319589, 86.110724 55.322433, 86.102847 55.320214))",0.0,4.0,0.0,0.0
"POLYGON ((86.088298 55.33096, 86.088699 55.336021, 86.08122 55.338862, 86.073341 55.336642, 86.072942 55.331581, 86.08042 55.32874, 86.088298 55.33096))",0.0,2.0,0.0,0.0
"POLYGON ((86.119625 55.433746, 86.119219 55.428688, 86.126709 55.425845, 86.134606 55.428059, 86.135013 55.433117, 86.127522 55.435961, 86.119625 55.433746))",0.0,3.0,0.0,0.0
"POLYGON ((86.159225 55.350912, 86.159634 55.355972, 86.152159 55.358818, 86.144274 55.356603, 86.143867 55.351543, 86.151342 55.348698, 86.159225 55.350912))",1.0,9.0,0.0,1.0
"POLYGON ((86.09698 55.343301, 86.096578 55.33824, 86.104055 55.335398, 86.111935 55.337616, 86.112339 55.342677, 86.104861 55.345519, 86.09698 55.343301))",0.0,0.0,4.0,0.0
