,hotel,bus_stop,company,landmark
"POLYGON ((87.134819 53.763929, 87.141946 53.761031, 87.149575 53.763217, 87.150078 53.768302, 87.142951 53.771201, 87.135321 53.769015, 87.134819 53.763929))",1.0,0.0,0.0,1.0
"POLYGON ((87.089053 53.750797, 87.096182 53.747901, 87.103808 53.75009, 87.104307 53.755176, 87.097177 53.758073, 87.08955 53.755883, 87.089053 53.750797))",0.0,4.0,0.0,0.0
"POLYGON ((87.217776 53.851851, 87.218288 53.856933, 87.211153 53.859836, 87.203506 53.857656, 87.202996 53.852573, 87.210131 53.849671, 87.217776 53.851851))",0.0,1.0,0.0,0.0
"POLYGON ((87.153679 53.729805, 87.153176 53.72472, 87.160295 53.72182, 87.167918 53.724006, 87.168423 53.729092, 87.161303 53.731992, 87.153679 53.729805))",0.0,0.0,0.0,1.0
"POLYGON ((87.255918 53.788684, 87.248283 53.786505, 87.247769 53.781422, 87.254888 53.778517, 87.262522 53.780696, 87.263038 53.785779, 87.255918 53.788684))",0.0,2.0,0.0,0.0
"POLYGON ((87.105303 53.765348, 87.112433 53.762451, 87.120062 53.76464, 87.120562 53.769725, 87.113431 53.772622, 87.105802 53.770434, 87.105303 53.765348))",0.0,6.0,2.0,0.0
"POLYGON ((87.110437 53.742108, 87.117563 53.739211, 87.125188 53.741399, 87.125688 53.746485, 87.118562 53.749383, 87.110936 53.747194, 87.110437 53.742108))",1.0,11.0,1.0,0.0
"POLYGON ((87.102997 53.893166, 87.110647 53.895352, 87.111148 53.900434, 87.103996 53.903331, 87.096345 53.901145, 87.095846 53.896062, 87.102997 53.893166))",0.0,2.0,0.0,0.0
"POLYGON ((87.097177 53.758073, 87.104307 53.755176, 87.111934 53.757366, 87.112433 53.762451, 87.105303 53.765348, 87.097675 53.763159, 87.097177 53.758073))",2.0,6.0,3.0,0.0
"POLYGON ((87.105303 53.765348, 87.105802 53.770434, 87.09867 53.77333, 87.09104 53.771141, 87.090543 53.766055, 87.097675 53.763159, 87.105303 53.765348))",1.0,4.0,1.0,0.0
"POLYGON ((87.170901 53.828598, 87.178542 53.830781, 87.179049 53.835864, 87.171914 53.838764, 87.164272 53.836581, 87.163766 53.831498, 87.170901 53.828598))",1.0,0.0,0.0,0.0
"POLYGON ((87.113431 53.772622, 87.113931 53.777708, 87.106799 53.780605, 87.099168 53.778416, 87.09867 53.77333, 87.105802 53.770434, 87.113431 53.772622))",0.0,0.0,2.0,0.0
